nome,sexo,data,hora,especie,xestimate,yestimate,id_poligon,classe,classe_bin,peso,micropaisa,mapa_bin2_
1461,1,2013-07-07,10:25,2,321194,7458964,334,pasto,N_MATA,73,1,           -10.00000
1461,1,2013-07-07,13:52,2,321227,7458935,339,pasto,N_MATA,73,1,           -30.00000
1461,1,2013-07-07,14:05,2,321327,7458905,339,pasto,N_MATA,73,1,          -120.00000
1461,1,2013-07-07,14:15,2,321417,7458951,339,pasto,N_MATA,73,1,           -70.71070
1461,1,2013-07-07,14:27,2,321470,7459032,8,veg,MATA,73,1,            14.14210
1461,1,2013-07-07,14:39,2,321543,7458977,8,veg,MATA,73,1,            10.00000
1461,1,2013-07-07,14:49,2,321516,7458978,339,pasto,N_MATA,73,1,           -10.00000
1461,1,2013-07-07,15:03,2,321520,7458966,339,pasto,N_MATA,73,1,           -14.14210
1461,1,2013-07-07,15:15,2,321583,7458960,339,pasto,N_MATA,73,1,           -20.00000
1461,1,2013-07-07,15:40,2,321456,7459019,8,veg,MATA,73,1,            14.14210
1461,1,2013-07-09,07:27,2,321121,7459066,8,veg,MATA,73,1,            28.28430
1461,1,2013-07-09,07:42,2,321190,7459010,334,pasto,N_MATA,73,1,           -10.00000
1461,1,2013-07-09,07:58,2,321095,7458966,334,pasto,N_MATA,73,1,           -50.99020
1461,1,2013-07-09,08:28,2,321090,7459033,334,pasto,N_MATA,73,1,           -22.36070
1461,1,2013-07-09,08:43,2,321209,7459087,338,pasto,N_MATA,73,1,           -14.14210
1461,1,2013-07-09,08:58,2,321153,7459055,8,veg,MATA,73,1,            40.00000
1461,1,2013-07-09,09:13,2,321171,7459030,8,veg,MATA,73,1,            14.14210
1461,1,2013-07-09,09:28,2,321158,7459065,8,veg,MATA,73,1,            41.23110
1461,1,2013-07-09,09:43,2,321144,7459011,334,pasto,N_MATA,73,1,           -20.00000
1461,1,2013-07-09,09:58,2,321158,7459093,8,veg,MATA,73,1,            40.00000
1461,1,2013-07-09,12:38,2,321250,7459096,338,pasto,N_MATA,73,1,           -44.72140
1461,1,2013-07-09,12:53,2,321170,7459092,8,veg,MATA,73,1,            30.00000
1461,1,2013-07-09,13:08,2,321123,7459080,8,veg,MATA,73,1,            30.00000
1461,1,2013-07-09,13:38,2,321233,7459075,338,pasto,N_MATA,73,1,           -20.00000
1461,1,2013-07-09,14:08,2,321131,7459035,8,veg,MATA,73,1,            20.00000
